0,Raspopović,DragoslavKA,1.4.1984.,20,38168734572,dragoslava.raspopovic@uns.ac.rs,276681361,docent,8,1
1,Prvanović,Stojko,14.2.1984.,21,+38164533567,stojko.prvanovic@uns.ac.rs,403390402,redovni profesor,29,2
2,Talović,Budimir,13.11.1993.,22,+38163433336,budimir.talovic@uns.ac.rs,176283015,redovni profesor,25,2
3,Batrović,Dobrica,31.5.1977.,23,+38163651140,dobrica.batrovic@uns.ac.rs,39606943,docent,26,1
4,Balabanović,Arsenije,4.11.1985.,24,+38166421759,arsenije.balabanovic@uns.ac.rs,3296960,docent,16,1
5,Bučevac,Rastko,31.8.1968.,25,+38166705409,rastko.bucevac@uns.ac.rs,520064301,vanredni profesor,6,1
6,Ložnjaković,Bogdanka,26.11.1971.,26,+38163904215,bogdanka.loznjakovic@uns.ac.rs,306180424,vanredni profesor,14,2
7,Miočinović,Veljko,24.6.1970.,27,+38169997020,veljko.miocinovic@uns.ac.rs,125955509,vanredni profesor,8,1
8,Krečković,Igor,17.5.1986.,28,+3816101030,igor.kreckovic@uns.ac.rs,973133377,redovni profesor,5,2
9,Iljanović,Steva,15.7.1973.,29,+38164163699,steva.iljanovic@uns.ac.rs,914012289,vanredni profesor,9,1
10,Toskić,Jevrosima,17.10.1971.,30,+38165326720,jevrosima.toskic@uns.ac.rs,800155523,redovni profesor,11,2
11,Čaluković,Aćim,25.2.1991.,31,+38165602843,acim.calukovic@uns.ac.rs,884798807,docent,5,1
12,Dabarčić,Gaga,14.12.1965.,32,+38163466502,gaga.dabarcic@uns.ac.rs,263457325,vanredni profesor,11,2
13,Graonić,Stevanija,6.6.1962.,33,+38166834413,stevanija.graonic@uns.ac.rs,392506493,docent,5,-1
14,Oblaković,Spomenko,31.10.1980.,34,+3816757415,spomenko.oblakovic@uns.ac.rs,963528130,redovni profesor,15,1
15,Čvorkov,Jakov,8.8.1982.,35,+38169416210,jakov.cvorkov@uns.ac.rs,955425450,docent,10,-1
16,Đurikin,Leonora,17.11.1980.,36,+38167769265,leonora.durikin@uns.ac.rs,982033521,docent,16,1
17,Banjalić,Stojmen,29.7.1973.,37,+3816103067,stojmen.banjalic@uns.ac.rs,284423009,redovni profesor,12,-1
18,Jojčić,Pauna,19.11.1960.,38,+38167157490,pauna.jojcic@uns.ac.rs,999930819,docent,19,1
19,Serdarević,Miloje,16.7.1993.,39,+38169893744,miloje.serdarevic@uns.ac.rs,904283709,redovni profesor,23,1
