0,Škrobović,Pantelija,12.1.2001.,0,+38161706971,skrobovic.ra.0.2021@uns.ac.rs,0,4,S
1,Veselić,Caka,24.1.2001.,1,+38165391091,veselic.ra.1.2021@uns.ac.rs,1,4,B
2,Kovrlija,Katarina,1.5.1998.,2,+3816749564,kovrlija.ra.2.2021@uns.ac.rs,2,4,B
3,Zarubica,Đura,21.7.1994.,3,+38169584327,zarubica.ra.3.2021@uns.ac.rs,3,4,S
4,Vilenica,Elena,6.10.2003.,4,+38165343994,vilenica.ra.4.2021@uns.ac.rs,4,4,S
5,Jelesijević,Fotije,27.2.1994.,5,+38165121848,jelesijevic.ra.5.2021@uns.ac.rs,5,4,S
6,Otržan,Strahinja,29.3.2004.,6,+38165826247,otrzan.ra.6.2021@uns.ac.rs,6,4,B
7,Putica,Ekatarina,20.12.1998.,7,+38169233526,putica.ra.7.2021@uns.ac.rs,7,1,B
8,Viduljević,Želimirka,19.7.2001.,8,+38162535541,viduljevic.ra.8.2021@uns.ac.rs,8,3,B
9,Roljević,Violeta,24.6.2004.,9,+38161267718,roljevic.ra.9.2021@uns.ac.rs,9,2,S
10,Jocin,Đura,9.3.1994.,10,+38161156705,jocin.ra.10.2021@uns.ac.rs,10,3,S
11,Milenović,Srpko,24.9.2000.,11,+38161553412,milenovic.ra.11.2021@uns.ac.rs,11,4,S
12,Grnčarski,Adam,25.7.2000.,12,+38168476604,grncarski.ra.12.2021@uns.ac.rs,12,1,B
13,Dobraš,Tanasije,4.12.1995.,13,+38169865396,dobras.ra.13.2021@uns.ac.rs,13,3,S
14,Milišić,Kosara,5.12.2004.,14,+38163078887,milisic.ra.14.2021@uns.ac.rs,14,4,B
15,Zavišin,Mirko,23.7.1999.,15,+38164396128,zavisin.ra.15.2021@uns.ac.rs,15,4,S
16,Popmihajlov,Glorija,17.2.1996.,16,+38168674154,popmihajlov.ra.16.2021@uns.ac.rs,16,1,B
17,Kekić,Cviko,23.5.2004.,17,+38169653668,kekic.ra.17.2021@uns.ac.rs,17,2,S
18,Sečanski,Dobrašin,8.9.1998.,18,+38169698207,secanski.ra.18.2021@uns.ac.rs,18,2,B
19,Čičovački,Pajka,13.3.2004.,19,+38164159397,cicovacki.ra.19.2021@uns.ac.rs,19,1,S
